Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm)
01/01/1940,0,19.5,23,16,4.15
02/01/1940,0,19.5,23,16,5.12
03/01/1940,0,20.35,24.2,16.5,4.63
04/01/1940,0,20,23.6,16.4,4.2
05/01/1940,0,20.7,23.2,18.2,5.7
06/01/1940,0,21.4,24.8,18,4.65
07/01/1940,0,18.5,21,16,6.15
08/01/1940,0,19.2,23,15.4,4.3
09/01/1940,0,19,23,15,5.3
10/01/1940,0,18.9,22.6,15.2,5.15
11/01/1940,0,19,23,15,4.32
12/01/1940,0,19.7,23,16.4,5.1
13/01/1940,0,19.5,22,17,5.3
14/01/1940,0,18.35,20.3,16.4,4.15
15/01/1940,0,19.7,22.4,17,5.25
16/01/1940,0,18.7,22,15.4,4.8
17/01/1940,0,18.7,23,14.4,4
18/01/1940,0,19.9,23.6,16.2,5.3
19/01/1940,0,20.7,24,17.4,6
20/01/1940,0,21.2,25,17.4,6.35
21/01/1940,0,21.1,23,19.2,6.35
22/01/1940,0,20.5,24,17,5.7
23/01/1940,0,19.6,22,17.2,5.9
24/01/1940,0,19.75,22.8,16.7,4.8
25/01/1940,0,20,23,17,5.45
26/01/1940,0,19.1,22,16.2,4.65
27/01/1940,0,20.7,24,17.4,3.3
28/01/1940,0,20.7,24,17.4,4.6
29/01/1940,0,21.5,26,17,4.25
30/01/1940,0,22.8,26.2,19.4,5.3
31/01/1940,0,22.7,25.4,20,7.1
01/02/1940,0,22.9,24.8,21,4.12
02/02/1940,0,22.1,25,19.2,5.1
03/02/1940,0,21,23.6,18.4,4.65
04/02/1940,0,21.1,25,17.2,6.15
05/02/1940,0,19.2,23,15.4,5.18
06/02/1940,0,20,23,17,4.1
07/02/1940,0,19.5,22.8,16.2,5.12
08/02/1940,0,19,22,16,3.66
09/02/1940,0,17.5,20,15,4.12
10/02/1940,0,18,20,16,3.25
11/02/1940,0,17.95,20.5,15.4,4.15
12/02/1940,0,20.1,23.2,17,3.63
13/02/1940,0,18.5,20,17,4.16
14/02/1940,0,20.2,23,17.4,3.8
15/02/1940,0,18.4,21.8,15,4.6
16/02/1940,0,16.6,19,14.2,4.1
17/02/1940,0,18,21,15,3.05
18/02/1940,0,17,20.8,13.2,4.72
19/02/1940,0,16.8,20.6,13,4.4
20/02/1940,0,17.7,21,14.4,5.33
21/02/1940,0,18.9,21.8,16,4.1
22/02/1940,0,19.5,23,16,5.2
23/02/1940,0,20.7,24.2,17.2,4.36
24/02/1940,0,21.5,25,18,4.84
25/02/1940,0,21.6,25.2,18,5.15
26/02/1940,0,21.6,24.8,18.4,4.8
27/02/1940,0,21,25,17,5.6
28/02/1940,0,21.9,26,17.8,6.82
29/02/1940,0,22.1,26,18.2,5.33
01/03/1940,0,22.5,24.6,20.4,5.62
02/03/1940,0,21.5,25,18,6.12
03/03/1940,0,20.5,25,16,8.42
04/03/1940,0,20.9,22.8,19,5.3
05/03/1940,0,19.1,21,17.2,6.35
06/03/1940,0,21,24,18,6.15
07/03/1940,0,21.8,25.2,18.4,4.8
08/03/1940,0,22,24,20,6
09/03/1940,0,18.5,20,17,5.32
10/03/1940,0,23.7,27.2,20.2,6.32
11/03/1940,0,22.5,25.5,19.5,6.7
12/03/1940,0,21.95,25.5,18.4,4.33
13/03/1940,0,19.7,23.2,16.2,5.81
14/03/1940,0,20.7,24,17.4,7.05
15/03/1940,0,21.5,25,18,6.07
16/03/1940,0,20.3,24.6,16,5.32
